time,forward_velocity,right_velocity,down_velocity,forward_position,right_position,down_position,horizontal_distance,3d_displacement,path_distance
1.26,-0.0001986111373268,0.0002660834373656,0.0032522579899201,0.07588936804541227,0.2536009905464075,0.20004064198439048,0.2647124073186807,0.33179649942996414,0.3318157229104261
1.27,-0.0001696601249867,0.0005031934539135,0.0047514740995907,0.0758875266891007,0.2536048369308639,0.20008066064483804,0.2647155643737614,0.33182314685053826,0.3318559681393417
1.28,-4.97059141714982e-07,0.0011755953656121,0.0065277324866227,0.07588667590318006,0.2536132308749615,0.2001370566777691,0.26472336212444647,0.33186337536720045,0.331912991771851
1.29,0.0001603400422357,0.0018435374939996,0.0086412156695566,0.07588747511809553,0.2536283265392596,0.20021290141855,0.2647380533714503,0.3319208381487051,0.3319903283254929
1.3,0.0003138502948816,0.0025075550130732,0.0110979773746796,0.07588984606978112,0.25365008200179495,0.2003115973837712,0.2647595755322409,0.3319975434885783,0.33209142142670645
1.31,0.0003089943995441,0.003364914620793,0.0140034092759572,0.07589296029325325,0.25367944434996426,0.20043710431702438,0.2647885985230103,0.33209642379100324,0.33222035488308016
1.32,0.0001647762939811,0.0041956195216791,0.0172566334130968,0.07589532914672088,0.2537172470206766,0.20059340453046964,0.2648254942826316,0.3322201925879352,0.3323811790420326
1.33,-0.0002980201177764,0.005001654775556,0.020815914717795,0.0758946629276019,0.2537632333921628,0.2007837672711241,0.26486936116232773,0.3323701245330641,0.3325770186785719
1.34,-0.0008762004418152,0.0055837906514377,0.0246445263299448,0.07588879182480394,0.25381616061929774,0.2010110694763628,0.26491838765202685,0.33254654135651557,0.33281047542772824
1.35,-0.0015559186086615,0.0061710851633108,0.0287271708229027,0.07587663122955156,0.2538749349983715,0.20127792796212704,0.26497121690321895,0.33274998132516836,0.33308400012338985
1.36,-0.002354010076942,0.0067629192748561,0.0330333642509718,0.07585708158612355,0.25393960502056234,0.2015867306374964,0.26502758313949704,0.3329817259158189,0.3334001068975084
1.37,-0.0032562700504846,0.0071025595400827,0.0376620243423544,0.07582903018548641,0.254008932414637,0.20194020758046305,0.2650859852298779,0.3332422947390315,0.33376140887350064
1.38,-0.0042501983086579,0.0070496423588712,0.0425744550974527,0.0757914978436907,0.2540796934241318,0.20234138997766207,0.26514305903774094,0.333530927882233,0.33417050924378616
1.39,-0.0056944835389019,0.0069249668797117,0.0487321758924653,0.0757417744344529,0.2541495664703247,0.20279792313261166,0.26519581167796286,0.3338499905023725,0.3346350274690247
1.4,-0.0076967955031286,0.0067371440983578,0.0559857519226023,0.07567481803924275,0.2542178770252151,0.203321512771687,0.2652421668673363,0.33420509367788986,0.33516728267183254
1.41,-0.0100284583946995,0.005879016620117,0.0632081087038046,0.07558619176975362,0.25428095782880744,0.20391748207481902,0.2652773603242269,0.3345959016430474,0.3357730988268673
1.42,-0.012720117838069,0.0036891672622792,0.0702084167575933,0.07547244888858978,0.2543287987482194,0.20458456470212602,0.26529083741047876,0.3350135408133699,0.33645149799272794
1.43,-0.0164851486207732,0.0012200926048923,0.0780570429758644,0.07532642255629557,0.25435334504755525,0.20532589200079332,0.2652728671990603,0.33545255401909185,0.33720746913919036
1.44,-0.0208643804219827,-0.0019464576978636,0.0856084681342736,0.07513967491108178,0.2543497132220904,0.20614421955634402,0.26521641608675484,0.3359094917063179,0.3380468426325309
1.45,-0.0253579005058341,-0.0061677191412748,0.0927328631276885,0.0749085635064427,0.2543091423378947,0.20703592621265382,0.2651121135731718,0.33637524805782865,0.33896890512439676
1.46,-0.0299519942784104,-0.0115721395641875,0.0990440218103786,0.07463201403252148,0.25422044304436736,0.20799481063734415,0.26494899731877625,0.3368379616852732,0.3399708065746962
1.47,-0.034986966278565,-0.0173217941406061,0.1050769823051608,0.0743073192297366,0.25407597337584337,0.20901541565792184,0.2647190547316008,0.3372886329549902,0.3410515159750936
1.48,-0.0404099111189886,-0.0233752547721099,0.110865128394584,0.07393033484274883,0.25387248813127977,0.21009512621142057,0.2644181057339451,0.33772310654990795,0.34221310899854207
1.49,-0.045244635888526,-0.0298650140048055,0.1151189257811377,0.07350206210771125,0.2536062867873952,0.21122504648229917,0.26404299239361834,0.33813417764790626,0.34345044505216893
1.5,-0.0495617269956835,-0.0367387160065499,0.1180224963091663,0.0730280302932902,0.2532732681373384,0.2123907535927507,0.26359142922615264,0.3385118517469992,0.34475216723824637
1.51,-0.0534492514126939,-0.0436708588597057,0.119799173192107,0.07251297540124832,0.2528712202630071,0.21357986194025708,0.2630627028653897,0.33884855476342757,0.34610896593266643
1.52,-0.0569587571423749,-0.0506544296621038,0.1205841836673704,0.07196093535847298,0.25239959382039806,0.21478177872455445,0.262457484515813,0.33913882651570837,0.3475131680785739
1.53,-0.0601356064272059,-0.0573535604794933,0.1204965277038777,0.07137546354062507,0.25185955386969006,0.2159871822814107,0.2617779434388589,0.33937907210218743,0.34895795807464136
1.54,-0.0630197180405689,-0.0637280797953793,0.1196409252742796,0.0707596869182862,0.25125414566831566,0.21718786954630148,0.2610279276404904,0.33956759222038596,0.3504369272585601
1.55,-0.0656462205030402,-0.0698169409899422,0.1182481999631921,0.07011635722556815,0.25058642056438907,0.21837731517248885,0.26021117908701835,0.33970356121742507,0.35194507539637776
1.56,-0.0681232393822517,-0.0756323867065097,0.1164180945413284,0.0694475099261417,0.2498591739259068,0.21955064664501145,0.25933099203504023,0.33978677118469575,0.35347900861772275
1.57,-0.070243223626375,-0.0812292631336723,0.1142030946219817,0.06875567761109856,0.2490748656767059,0.220703752590828,0.25839046405707466,0.33981727196142314,0.35503574388878845
1.58,-0.0718064014151385,-0.0866117622549275,0.1116493875448499,0.068045429485891,0.2482356605497629,0.22183301500166216,0.2573929362715622,0.33979554174124205,0.3566117994832937
1.59,-0.0728939604076061,-0.0918306828256531,0.1087976181688673,0.06732192767677728,0.24734344832436,0.22293525003023076,0.2563416145987666,0.33972216454206233,0.35820378553258964
1.6,-0.0735629748593335,-0.0969056542719127,0.1059913200276622,0.06658964300044258,0.24639976663887217,0.22400919472121342,0.25523915364735295,0.33959850540640424,0.3598100648264889
1.61,-0.0738636701152093,-0.1018556026373726,0.1032250365730614,0.06585250977556986,0.24540596035432574,0.22505527650421703,0.25408785571366926,0.33942674600502537,0.3614303436355669
1.62,-0.0740611513120543,-0.1066955306917289,0.1004939660426723,0.06511288566843354,0.24436320468768025,0.2260738715172957,0.2528894297619092,0.3392085775273413,0.3630649441986548
1.63,-0.0741678041369521,-0.1114386408723138,0.0977938828855897,0.06437174089118852,0.24327253382986005,0.22706531076193698,0.2516450809003878,0.33894527890616466,0.36471473517837033
1.64,-0.0741945279945364,-0.1160846500313314,0.0951559347409946,0.06362992923053108,0.24213491737534182,0.2280300598500699,0.25035591885602787,0.33863814655391744,0.3663806272938842
1.65,-0.0741509143608848,-0.1204972671647544,0.0927115512305259,0.06288820201875397,0.24095200778936138,0.22896939727992752,0.24902368564230207,0.33828949274491127,0.3680634193643512
1.66,-0.0740454037349457,-0.124704499315654,0.0904827491615281,0.06214722042827482,0.23972599895695934,0.22988536878188778,0.24765062403085653,0.3379025219835703,0.36976375908539527
