time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
2.545560,2.389413,8.252813,4.359841,-0.355524,0.182038,-0.203418,0.84845585,0.50517750,-0.15723875,-0.01393832
2.566577,2.439692,8.145074,4.481946,-0.323148,0.262061,-0.212581,0.85010803,0.50291985,-0.15537935,-0.01566175
2.585897,2.674323,8.101978,3.502717,-0.392786,0.463647,-0.313374,0.85182971,0.50057805,-0.15326773,-0.01780418
2.605971,2.255338,8.044518,3.459621,-0.605978,0.423940,-0.397673,0.85423434,0.49760109,-0.14914808,-0.02078125
2.625848,1.812411,8.032547,4.434062,-0.747699,0.363465,-0.381180,0.85758191,0.49329206,-0.14380352,-0.02316905
2.645958,1.711854,7.862558,4.692636,-0.762360,0.426384,-0.340863,0.86150372,0.48770970,-0.13887291,-0.02578984
2.667067,1.687912,7.709330,4.343082,-0.803899,0.494190,-0.318261,0.86554402,0.48190042,-0.13354173,-0.02778781
2.686536,1.745373,7.750031,4.692636,-0.937678,0.485027,-0.318872,0.86927038,0.47653678,-0.12817709,-0.02919687
2.706650,1.443704,7.568071,5.061342,-0.998154,0.474642,-0.320093,0.87349558,0.46983391,-0.12346394,-0.03191345
2.726243,1.549049,7.467515,5.329493,-1.034195,0.555887,-0.298102,0.87802047,0.46256012,-0.11817796,-0.03394609
2.746293,1.103727,7.094019,4.156334,-1.162477,0.813672,-0.354302,0.88276190,0.45490912,-0.11208837,-0.03500574
2.767323,0.387861,6.976704,3.670311,-1.525941,0.919963,-0.309709,0.88874668,0.44551325,-0.10227089,-0.03446542
2.786773,1.407791,6.756437,5.971139,-1.797166,0.629191,-0.254731,0.89626515,0.43246993,-0.09209599,-0.03459791
2.806488,0.936133,6.493075,7.417237,-1.676825,0.709825,-0.351858,0.90438724,0.41671163,-0.08463415,-0.03567020
2.826537,-0.311246,6.064513,5.760449,-1.549154,0.998765,-0.283441,0.91167736,0.40214118,-0.07596257,-0.03683295
2.846610,-0.541090,6.124368,4.922479,-1.843591,0.870483,-0.066584,0.91846788,0.38854995,-0.06466340,-0.03555755
2.867617,0.751779,5.554548,7.479486,-2.039068,0.601702,-0.019548,0.92603791,0.37192011,-0.05525378,-0.03280674
2.886980,0.280122,5.327099,8.343793,-1.854587,0.681726,-0.059865,0.93381244,0.35320815,-0.04826398,-0.03015036
2.906860,-0.826000,4.948815,6.885724,-1.771509,0.684780,0.054367,0.94055521,0.33615699,-0.04030575,-0.02701802
2.927203,-0.385466,5.030218,8.032547,-1.891239,0.283441,0.282220,0.94670850,0.31964803,-0.03268485,-0.02235760
2.946939,0.809240,4.932055,10.409989,-1.748296,0.436769,0.221744,0.95277929,0.30260554,-0.01888372,0.01687950
2.967965,0.332794,4.572925,9.557653,-1.373225,0.624304,0.073915,0.95789802,0.28585660,-0.01486116,0.02228359
